botanical_name,simplified_IUCN_status,IUCN_status,IUCN_DOI_or_URL
Pinus torreyana,Critically Endangered,"Critically Endangered B2ab(ii,iii,v)",http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42424A2979186.en
Sequoia sempervirens,Endangered,Endangered A2acd,http://www.iucnredlist.org/details/34051/0
Cedrus atlantica 'Glauca',Endangered,Endangered A2cd,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42303A2970716.en
Cedrus atlantica,Endangered,Endangered A2cd ,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42303A2970716.en
Quercus engelmannii,Endangered,Endangered A3c ,http://www.iucnredlist.org/details/34020/0
Ginkgo biloba,Endangered,Endangered B1+2c,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T32353A9700472.en
Quercus tomentella,Endangered,"Endangered B2ab(i,ii,iv,v)",http://www.iucnredlist.org/details/30959/0
Hesperocyparis forbesii,Endangered,"Endangered B2ab(ii,iii,iv,v)",http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T34081A2844134.en
Pinus radiata,Endangered,"Endangered B2ab(ii,iii,v) ",http://www.iucnredlist.org/details/42408/0
Brahea edulis,Endangered,Endangered C1,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38455A10120521.en
Dracaena draco,Vulnerable,Vulnerable A1abcde,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T30394A9535771.en
Juglans hindsii,Vulnerable,Vulnerable A1c,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T35154A9915361.en
Jubaea chilensis,Vulnerable,Vulnerable A1cd,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38586A10128158.en
Jacaranda mimosifolia,Vulnerable,Vulnerable B1+2ac,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T32027A9675619.en
Ravenea rivularis,Vulnerable,"Vulnerable B2ab(i,ii,iii,iv,v)",http://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T38677A67737451.en
Cedrus libani,Vulnerable,"Vulnerable B2ab(ii,iii,v)",http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T46191675A46192926.en
Prunus lusitanica,Vulnerable,"Vulnerable B2ab(ii,v) (Regional assessment) ",http://www.iucnredlist.org/details/62857/1
Dypsis decaryi,Vulnerable,Vulnerable D1,http://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T38531A2873409.en
Araucaria heterophylla,Vulnerable,Vulnerable D2,http://dx.doi.org/10.2305/IUCN.UK.2011-2.RLTS.T30497A9548582.en
Hesperocyparis macrocarpa,Vulnerable,Vulnerable D2,http://www.iucnredlist.org/details/30375/0
Howea belmoreana,Vulnerable,Vulnerable D2,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38576A10125688.en
Howea forsteriana,Vulnerable,Vulnerable D2,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38577A10125794.en
Lyonothamnus floribundus,Vulnerable,Vulnerable D2,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T37561A10058223.en
Cryptomeria japonica,Near Threatened,Near Threatened,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T39149A2886821.en
Cupressus glabra,Near Threatened,Near Threatened,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T19708408A19708411.en
Pinus eldarica,Near Threatened,Near Threatened,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T34183A2849651.en
Platycladus orientalis,Near Threatened,Near Threatened,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T31305A2803944.en
Wodyetia bifurcata,Lower Risk/conservation dependent,Lower Risk/conservation dependent,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38733A10146773.en
Phoenix rupicola,Lower Risk/near threatened,Lower Risk/near threatened,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38629A10140589.en
Washingtonia filifera,Lower Risk/near threatened,Lower Risk/near threatened,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38725A10145920.en
Washingtonia robusta,Lower Risk/near threatened,Lower Risk/near threatened,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38725A10145920.en
Acer rubrum,Least Concern ,Learn Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T193860A2287111.en
Acer saccharinum,Least Concern ,Learn Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T193862A2287256.en
Acer palmatum,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T193845A2285627.en
Afrocarpus gracilior,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42439A2980350.en
Agathis robusta,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T16437966A2960124.en
Alnus cordata,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T194657A117268007.en
Alnus rhombifolia,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T194648A2355642.en
Araucaria bidwillii,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2011-2.RLTS.T42195A10660714.en
Araucaria columnaris,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T42196A10661112.en
Arbutus unedo,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T202930A68076133.en
Bauhinia variegata,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T19893142A20028421.en
Betula pendula,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T62535A3115662.en
Brahea armata,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T55948517A56756065.en
Brahea brandegeei,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2015-2.RLTS.T55948714A55948834.en
Calocedrus decurrens,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42210A2962006.en
Cedrus deodara,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42304A2970751.en
Ceratonia siliqua,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T202951A112823254.en
Cercis canadensis,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2000.RLTS.T33892A9812587.en
Chamaerops humilis,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T13164373A95532812.en
Cotinus coggygria,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T202959A119996147.en
Cupressus sempervirens,Least Concern ,Least Concern,http://www.iucnredlist.org/details/32518/0
Ficus carica,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2007.RLTS.T63527A12687229.en
Fraxinus angustifolia oxycarpa,Least Concern ,Least Concern,http://www.iucnredlist.org/details/203366/1
Fraxinus uhdei,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T96444707A96444709.en
Fraxinus velutina,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T96444728A96444730.en
Juniperus chinensis,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42227A2962948.en
Liquidambar formosana,Least Concern ,Least Concern,http://www.iucnredlist.org/details/61983495/0
Liquidambar styraciflua,Least Concern ,Least Concern,http://www.iucnredlist.org/details/33966/0
Liriodendron tulipifera,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T194015A2294401.en
Magnolia champaca,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-3.RLTS.T191869A15267603.en
Magnolia grandiflora,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2014-1.RLTS.T193948A2291865.en
Melia azedarach,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T61801956A61801958.en
Myrtus communis,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T203365A119997141.en.
Nerium oleander,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T202961A13537523.en
Persea americana,Least Concern ,Least Concern,http://www.iucnredlist.org/details/96986556/0
Persea indica,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T30329A102153566.en
Phoenix canariensis,Least Concern ,Least Concern,http://www.iucnredlist.org/details/13416997/0
Phoenix dactylifera,Least Concern ,Least Concern,http://www.iucnredlist.org/details/13416997/0
Phoenix reclinata,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T67540526A67540546.en
Picea pungens,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42333A2973433.en
Pinus brutia,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42347A2974345.en
Pinus canariensis,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-2.RLTS.T39603A84061236.en
Pinus halepensis,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42366A2975569.en
Pinus pinea,Least Concern ,Least Concern,http://www.iucnredlist.org/details/42391/0
Pinus roxburghii,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42412A2978347.en
Pinus thunbergiana,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42423A2979140.en
Quercus agrifolia,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T194049A2295175.en
Quercus ilex,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T62537A3116134.en
Quercus suber,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T194237A2305530.en
Robinia pseudoacacia,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2012.RLTS.T19891648A20138922.en
Taxodium distichum,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42261A2967873.en
Thuja occidentalis,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2013-1.RLTS.T42262A2967995.en
Tilia americana,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T61788230A61788232.en
Ulmus pumila,Least Concern ,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T61967372A61967374.en
Laurus nobilis,Least Concern ,Least Concern ,http://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T203351A119996864.en
Malus sylvestris,Data Deficient,Data Deficient,http://dx.doi.org/10.2305/IUCN.UK.2011-1.RLTS.T172170A6841688.en
Olea europaea,Data Deficient,Data Deficient,http://www.iucnredlist.org/details/summary/63005/1
Prunus armeniaca,Data Deficient,Data Deficient,http://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T50026487A50670248.en
Prunus cerasifera,Data Deficient,Data Deficient,http://www.iucnredlist.org/details/172162/1
Prunus domestica,Data Deficient,Data Deficient,http://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T50135950A50135957.en
Acacia baileyana,not listed,not listed,
Acacia cognata,not listed,not listed,
Acacia longifolia,not listed,not listed,
Acacia melanoxylon,not listed,not listed,
Acacia stenophylla,not listed,not listed,
Acca sellowiana,not listed,not listed,
Acer paxii,not listed,not listed,
Acer spp.,not listed,not listed,
Acmena smithii,not listed,not listed,
Afrocarpus macrophyllus,not listed,not listed,
Agonis flexuosa,not listed,not listed,
Ailanthus altissima,not listed,not listed,
Albizia julibrissin,not listed,not listed,
Allocasuarina verticillata,not listed,not listed,
Angophora costata,not listed,not listed,
Arbutus 'Marina',not listed,not listed,
Archontophoenix cunninghamiana,not listed,not listed,
Auranticarpa rhombifolium,not listed,not listed,
Bauhinia blakeana,not listed,not listed,
Brachychiton acerifolius,not listed,not listed,
Brachychiton populneus,not listed,not listed,
Butia capitata,not listed,not listed,
Calodendrum capense,not listed,not listed,
Casimiroa edulis,not listed,not listed,
Cassia leptophylla,not listed,not listed,
Castanea mollissima,not listed,not listed,
Casuarina cunninghamiana,not listed,not listed,
Catalpa hybrida,not listed,not listed,
Ceiba speciosa,not listed,not listed,
Cercidium floridum,not listed,not listed,
Cercis canadensis 'Forest Pansy',not listed,not listed,
Cercis canadensis 'Oklahoma',not listed,not listed,
Cercis canadensis texensis,not listed,not listed,
Cercis canadensis var. mexicana,not listed,not listed,
Cercis occidentalis,not listed,not listed,
Cercis spp.,not listed,not listed,
Chilopsis linearis,not listed,not listed,
Chionanthus retusus,not listed,not listed,
Chitalpa tashkentensis,not listed,not listed,
Cinnamomum camphora,not listed,not listed,
Citrus limon,not listed,not listed,
Citrus sinensis,not listed,not listed,
Cocculus laurifolius,not listed,not listed,
Cordyline australis,not listed,not listed,
Corymbia citriodora,not listed,not listed,
Corymbia ficifolia,not listed,not listed,
Corymbia maculata,not listed,not listed,
Cupaniopsis anacardioides,not listed,not listed,
Cupressocyparis x leylandii,not listed,not listed,
Cyathea cooperi,not listed,not listed,
Diospyros virginiana,not listed,not listed,
Dodonaea viscosa,not listed,not listed,
Duranta repens,not listed,not listed,
Eriobotrya deflexa,not listed,not listed,
Eriobotrya japonica,not listed,not listed,
Erythrina bidwillii,not listed,not listed,
Erythrina caffra,not listed,not listed,
Erythrina coralloides,not listed,not listed,
Eucalyptus amplifolia,not listed,not listed,
Eucalyptus camaldulensis,not listed,not listed,
Eucalyptus cinerea,not listed,not listed,
Eucalyptus cladocalyx,not listed,not listed,
Eucalyptus cornuta,not listed,not listed,
Eucalyptus deglupta,not listed,not listed,
Eucalyptus globulus,not listed,not listed,
Eucalyptus grandis,not listed,not listed,
Eucalyptus lehmannii,not listed,not listed,
Eucalyptus leucoxylon 'Rosea',not listed,not listed,
Eucalyptus nicholii,not listed,not listed,
Eucalyptus polyanthemos,not listed,not listed,
Eucalyptus pulverulenta,not listed,not listed,
Eucalyptus robusta,not listed,not listed,
Eucalyptus rudis,not listed,not listed,
Eucalyptus sideroxylon,not listed,not listed,
Eucalyptus torquata,not listed,not listed,
Eucalyptus viminalis,not listed,not listed,
Eugenia aggregata,not listed,not listed,
Ficus benjamina,not listed,not listed,
Ficus elastica,not listed,not listed,
Ficus lyrata,not listed,not listed,
Ficus macrophylla,not listed,not listed,
Ficus microcarpa,not listed,not listed,
Ficus microcarpa 'Green Gem',not listed,not listed,
Ficus microcarpa 'Nitida',not listed,not listed,
Ficus rubiginosa,not listed,not listed,
Ficus spp.,not listed,not listed,
Geijera parviflora,not listed,not listed,
Ginkgo biloba 'Autumn Gold',not listed,not listed,
Gleditsia triacanthos,not listed,not listed,
Grevillea robusta,not listed,not listed,
Hakea suaveolens,not listed,not listed,
Handroanthus chrysotrichus,not listed,not listed,
Harpephyllum caffrum,not listed,not listed,
Heteromeles arbutifolia,not listed,not listed,
Hymenosporum flavum,not listed,not listed,
Ilex altaclarensis 'Wilsonii',not listed,not listed,
Juniperus chinensis 'Torulosa',not listed,not listed,
Koelreuteria bipinnata,not listed,not listed,
Koelreuteria paniculata,not listed,not listed,
Lagerstroemia indica,not listed,not listed,
Lagerstroemia indica 'Muskogee',not listed,not listed,
Lagerstroemia indica 'Natchez',not listed,not listed,
Lagerstroemia indica 'Purple',not listed,not listed,
Lagerstroemia indica 'Red',not listed,not listed,
Lagerstroemia indica 'Tuscarora',not listed,not listed,
Lagerstroemia indica 'White',not listed,not listed,
Lagunaria patersonii,not listed,not listed,
Leptospermum laevigatum,not listed,not listed,
Leptospermum spp.,not listed,not listed,
Ligustrum lucidum,not listed,not listed,
Liquidambar styraciflua 'Rotundiloba',not listed,not listed,
Livistona chinensis,not listed,not listed,
Lophostemon confertus,not listed,not listed,
Lophostemon confertus 'Variegata',not listed,not listed,
Macadamia integrifolia,not listed,not listed,
Macadamia tetraphylla,not listed,not listed,
Magnolia grandiflora 'Little Gem',not listed,not listed,
Magnolia grandiflora 'Samuel Sommer',not listed,not listed,
Magnolia soulangiana,not listed,not listed,
Malus floribunda,not listed,not listed,
Maytenus boaria,not listed,not listed,
Melaleuca armillaris,not listed,not listed,
Melaleuca citrina,not listed,not listed,
Melaleuca ericifolia,not listed,not listed,
Melaleuca genistifolia,not listed,not listed,
Melaleuca linariifolia,not listed,not listed,
Melaleuca nesophila,not listed,not listed,
Melaleuca quinquenervia,not listed,not listed,
Melaleuca spp.,not listed,not listed,
Melaleuca viminalis,not listed,not listed,
Metrosideros excelsus,not listed,not listed,
Morus alba,not listed,not listed,
Musa spp.,not listed,not listed,
Myoporum laetum,not listed,not listed,
No Replant,not listed,not listed,
Nolina recurvata,not listed,not listed,
Other tree,not listed,not listed,
Palm spp.,not listed,not listed,
Parkinsonia X 'Desert Museum',not listed,not listed,
Persea borbonia,not listed,not listed,
Phoenix roebelenii,not listed,not listed,
Picea spp.,not listed,not listed,
Pistacia chinensis,not listed,not listed,
Pittosporum crassifolium,not listed,not listed,
Pittosporum phillyreoides,not listed,not listed,
Pittosporum tobira,not listed,not listed,
Pittosporum undulatum,not listed,not listed,
Pittosporum viridiflorum,not listed,not listed,
Platanus acerifolia,not listed,not listed,
Platanus hybrida,not listed,not listed,
Platanus mexicana,not listed,not listed,
Platanus racemosa,not listed,not listed,
Platanus spp.,not listed,not listed,
Platanus X hispanica,not listed,not listed,
Platanus X hispanica 'Bloodgood',not listed,not listed,
Platanus X hispanica 'Columbia',not listed,not listed,
Platanus X hispanica 'Yarwood',not listed,not listed,
Prunus blireiana,not listed,not listed,
Prunus caroliniana,not listed,not listed,
Prunus cerasifera 'Atropurpurea',not listed,not listed,
Prunus cerasifera 'Krater Vesuvius',not listed,not listed,
Prunus ilicifolia,not listed,not listed,
Prunus ilicifolia ssp. Lyonii,not listed,not listed,
Prunus persica,not listed,not listed,
Prunus spp.,not listed,not listed,
Psidium guajava,not listed,not listed,
Pyrus calleryana,not listed,not listed,
Pyrus kawakamii,not listed,not listed,
Quillaja saponaria,not listed,not listed,
Radermachera sinica,not listed,not listed,
Rhus lancea,not listed,not listed,
Robinia ambigua 'Idahoensis',not listed,not listed,
Roystonea regia,not listed,not listed,
Salix babylonica,not listed,not listed,
Schefflera actinophylla,not listed,not listed,
Schinus molle,not listed,not listed,
Schinus terebinthifolius,not listed,not listed,
Stenocarpus sinuatus,not listed,not listed,
Strelitzia nicolai,not listed,not listed,
Stump,not listed,not listed,
Stump - not accessible,not listed,not listed,
Styphnolobium japonicum,not listed,not listed,
Syagrus romanzoffianum,not listed,not listed,
Syzygium paniculatum,not listed,not listed,
Syzygium spp.,not listed,not listed,
Taxodium huegelii,not listed,not listed,
Tecoma stans,not listed,not listed,
Thevetia peruviana,not listed,not listed,
Tipuana tipu,not listed,not listed,
Trachycarpus fortunei,not listed,not listed,
Tristania laurina,not listed,not listed,
Ulmus parvifolia,not listed,not listed,
Ulmus parvifolia 'Allee',not listed,not listed,
Ulmus parvifolia 'Drake',not listed,not listed,
Ulmus propinqua 'Emerald Sunshine',not listed,not listed,
Umbellularia californica,not listed,not listed,
Unidentified spp.,not listed,not listed,
Unsuitable site,not listed,not listed,
Vacant site,not listed,not listed,
Viburnum spp.,not listed,not listed,
Washingtonia filifera X robusta,not listed,not listed,
Wisteria sinensis,not listed,not listed,
Yucca gloriosa,not listed,not listed,
Yucca spp.,not listed,not listed,
Zelkova serrata,not listed,not listed,
